facility_name,address,telephone_number,score,population_density,latitude,longitude, van_num
EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE, ATLANTA, GA 30322",(404) 686-8500,385,"1,100",33.792151,-84.32208293,5
EMORY UNIVERSITY HOSPITAL MIDTOWN,"550 PEACHTREE STREET,  NE, ATLANTA, GA 30308",(404) 686-4411,374,787.8,33.76851,-84.38614,17
GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE, ATLANTA, GA 30303",(404) 616-4252,400,787.8,33.75211,-84.38213,11
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC","5665 PEACHTREE DUNWOODY ROAD, ATLANTA, GA 30342",(678) 843-5720,289,787.8,33.9092071,-84.34918344,11
PIEDMONT HOSPITAL,"1968 PEACHTREE RD NW, ATLANTA, GA 30309",(404) 605-5000,256,787.8,33.75211,-84.38213,7
NORTHSIDE HOSPITAL,"1000 JOHNSON FERRY ROAD, NE, ATLANTA, GA 30342",(404) 851-8000,242,787.8,33.90852,-84.35394,3
NORTHSIDE HOSPITAL GWINNETT,"1000 MEDICAL CENTER BOULEVARD, LAWRENCEVILLE, GA 30046",(678) 312-1000,364,874.2,33.96307405,-84.01768792,5
PIEDMONT EASTSIDE MEDICAL CENTER,"1700 MEDICAL WAY, SNELLVILLE, GA 30078",(770) 979-0200,396,874.2,33.87739355,-84.02149045,6
EMORY JOHNS CREEK HOSPITAL,"6325 HOSPITAL PARKWAY, JOHNS CREEK, GA 30097",(678) 474-7000,221,874.2,34.0678025,-84.17470349,5
NORTHSIDE HOSPITAL DULUTH,"3620 HOWELL FERRY ROAD, DULUTH, GA 30096",(678) 312-1000,198,874.2,33.99991065,-84.16347423,3